Order_ID,Order_Date,Ship_Mode,Customer_ID,Segment,City,Region,Category,Product_Name,Payment_Mode,Unit_Price,Quantity,Discount,Sales,Profit,Year,Month,Month_Name,Quarter,Profit_Margin
ORD-01000,2022-01-01,Second Class,CUST-1630,Corporate,Ranchi,East,Clothing,Jeans,Debit Card,7339.12,7,0.0,51373.84,9014.49,2022,1,Jan,Q1,17.55
ORD-01001,2022-01-01,Standard Class,CUST-1677,Consumer,Guwahati,East,Toys,Lego Set,Credit Card,634.08,6,0.2,3043.58,650.98,2022,1,Jan,Q1,21.39
ORD-01002,2022-01-01,Standard Class,CUST-1195,Consumer,Ahmedabad,West,Sports,Yoga Mat,UPI,6387.95,1,0.0,6387.95,638.46,2022,1,Jan,Q1,9.99
ORD-01003,2022-01-01,Standard Class,CUST-1142,Corporate,Patna,East,Groceries,Oil (1L),Debit Card,329.81,9,0.05,2819.88,365.97,2022,1,Jan,Q1,12.98
ORD-01004,2022-01-01,Standard Class,CUST-1031,Consumer,Raipur,Central,Electronics,Camera,UPI,56158.0,6,0.3,235863.6,21269.64,2022,1,Jan,Q1,9.02
ORD-01005,2022-01-02,Second Class,CUST-1065,Corporate,Patna,East,Electronics,Smart TV,UPI,65525.16,6,0.15,334178.32,57804.71,2022,1,Jan,Q1,17.3
ORD-01006,2022-01-02,Same Day,CUST-2170,Corporate,Indore,Central,Electronics,Tablet,UPI,21171.93,9,0.0,190547.37,43273.44,2022,1,Jan,Q1,22.71
ORD-01007,2022-01-02,Standard Class,CUST-1081,Home Office,Patna,East,Books,Python Programming,Debit Card,1305.57,5,0.1,5875.06,794.34,2022,1,Jan,Q1,13.52
ORD-01008,2022-01-02,Standard Class,CUST-2317,Corporate,Jabalpur,Central,Groceries,Flour (2kg),Credit Card,268.45,6,0.15,1369.09,415.93,2022,1,Jan,Q1,30.38
ORD-01009,2022-01-03,Standard Class,CUST-1863,Corporate,Guwahati,East,Sports,Badminton Set,Debit Card,5386.52,6,0.1,29087.21,10016.81,2022,1,Jan,Q1,34.44
ORD-01010,2022-01-03,Second Class,CUST-2386,Corporate,Ranchi,East,Electronics,Laptop,Credit Card,40021.53,7,0.15,238128.1,20490.08,2022,1,Jan,Q1,8.6
ORD-01011,2022-01-03,Second Class,CUST-1095,Consumer,Chennai,South,Toys,Lego Set,Net Banking,1935.02,9,0.05,16544.42,915.87,2022,1,Jan,Q1,5.54
ORD-01012,2022-01-03,Second Class,CUST-1729,Consumer,Raipur,Central,Books,Self-Help,Debit Card,364.94,5,0.0,1824.7,523.57,2022,1,Jan,Q1,28.69
ORD-01013,2022-01-03,Standard Class,CUST-1500,Corporate,Raipur,Central,Clothing,Saree,Net Banking,1597.78,5,0.05,7589.45,813.53,2022,1,Jan,Q1,10.72
ORD-01014,2022-01-04,First Class,CUST-1011,Corporate,Bhopal,Central,Electronics,Tablet,UPI,6274.19,4,0.1,22587.08,3522.32,2022,1,Jan,Q1,15.59
ORD-01015,2022-01-04,Standard Class,CUST-2304,Corporate,Delhi,North,Electronics,Camera,Credit Card,20183.18,4,0.1,72659.45,12226.36,2022,1,Jan,Q1,16.83
ORD-01016,2022-01-04,Second Class,CUST-2107,Consumer,Guwahati,East,Clothing,Saree,Cash,2691.06,8,0.0,21528.48,2922.4449999999997,2022,1,Jan,Q1,13.57
ORD-01017,2022-01-05,Second Class,CUST-2138,Consumer,Jabalpur,Central,Groceries,Sugar (1kg),Credit Card,277.75,2,0.0,555.5,137.57,2022,1,Jan,Q1,24.77
ORD-01018,2022-01-05,Second Class,CUST-1847,Consumer,Chandigarh,North,Furniture,Chair,Credit Card,32830.77,8,0.25,196984.62,12249.06,2022,1,Jan,Q1,6.22
ORD-01019,2022-01-06,Standard Class,CUST-2045,Corporate,Chennai,South,Clothing,T-Shirt,Credit Card,2580.77,2,0.0,5161.54,281.01,2022,1,Jan,Q1,5.44
ORD-01020,2022-01-06,Second Class,CUST-1518,Corporate,Gwalior,Central,Groceries,Sugar (1kg),Net Banking,301.96,1,0.0,301.96,33.18,2022,1,Jan,Q1,10.99
ORD-01021,2022-01-06,Standard Class,CUST-1497,Corporate,Bhopal,Central,Electronics,Camera,Debit Card,19232.65,9,0.15,147129.77,21400.26,2022,1,Jan,Q1,14.55
ORD-01022,2022-01-06,Standard Class,CUST-1028,Consumer,Agra,North,Clothing,Dress,Cash,5062.23,8,0.05,38472.95,7515.97,2022,1,Jan,Q1,19.54
ORD-01023,2022-01-06,Standard Class,CUST-1310,Consumer,Patna,East,Clothing,Jeans,Credit Card,884.7,6,0.0,5308.2,1599.64,2022,1,Jan,Q1,30.14
ORD-01024,2022-01-06,Standard Class,CUST-1238,Corporate,Bangalore,South,Furniture,Bookshelf,Debit Card,6481.46,4,0.05,24629.55,3557.62,2022,1,Jan,Q1,14.44
ORD-01025,2022-01-07,Standard Class,CUST-1181,Corporate,Raipur,Central,Sports,Cycle,Debit Card,10819.15,2,0.1,19474.47,3173.58,2022,1,Jan,Q1,16.3
ORD-01026,2022-01-07,First Class,CUST-1786,Consumer,Guwahati,East,Electronics,Camera,Debit Card,78175.78,8,0.05,594135.93,88408.25,2022,1,Jan,Q1,14.88
